Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,fingerprint
"Phường 15, Quận Bình Thạnh",4.16,"Nhà hẻm, ngõ",36.0,4.0,3.0,2.0,,,Sổ hồng,e35b7896871501c265ddb2f0f8cc9029
"Xã Tân Kiên, Huyện Bình Chánh",1.0,Nhà mặt tiền,93.9,3.0,2.0,1.0,,,Sổ hồng,94f48799ba77367569849197a1e5d8ae
"Phường Thạnh Xuân, Quận 12",6.5,"Nhà hẻm, ngõ",138.0,3.0,3.0,2.0,,,Sổ hồng,dfb84b104bf29e77a761bb7d522bc55a
"Phường 5, Quận Gò Vấp",23.0,"Nhà hẻm, ngõ",135.0,21.0,21.0,5.0,Tây Nam,,Sổ hồng,9d477ad3e1b9c69d37afa1e101358855
"Xã Phạm Văn Hai, Huyện Bình Chánh",38.0,Nhà mặt tiền,900.0,,,,Đông Nam,,Sổ hồng,6b29e6c26cb59700b4b66dc3e2ab86e6
"Phường 1, Quận Tân Bình",6.5,Đất thổ cư,48.0,,,,,,Sổ hồng,33ac89697287992ed061d9d1a126764c
"Phường 14, Quận 3",43.5,"Biệt thự, Villa",160.0,9.0,9.0,5.0,,,Giấy tờ hợp lệ,b885bba9e7949f0ace7db371134ae484
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",19.0,Nhà mặt tiền,120.0,3.0,5.0,,Tây Bắc,,Sổ hồng,8be170c793970ad5d2eba8370181dc83
"Phường An Phú Đông, Quận 12",9.6,Nhà mặt tiền,100.1,,,,,,Sổ hồng,a3c62ef652a2efbae7843f28a2f2411f
"Phường 11, Quận Phú Nhuận",1.49,"Nhà hẻm, ngõ",11.0,1.0,1.0,,Đông,Đông,Sổ hồng,870d3899de1d1f2678d1965f3eab3dff
"Phường 15, Quận Tân Bình",1.86,"Nhà hẻm, ngõ",16.0,2.0,2.0,3.0,Tây Nam,Tây Nam,Sổ hồng,2a42d35835840a9066e7078cdee9ea7e
"Phường Tân Phong, Quận 7",19.5,Nhà mặt tiền,90.0,5.0,4.0,4.0,,Bắc,Sổ hồng,18ad383faf45deabec23510a135c4633
"Phường 9, Quận Phú Nhuận",17.0,Nhà mặt tiền,67.0,,,,,,Sổ hồng,f97d30cbcd25ed25d1c0466fad33c00f
"Phường 5, Quận Phú Nhuận",1.0,"Nhà hẻm, ngõ",10.0,2.0,2.0,2.0,,,Sổ hồng,8b8b2a0c467bd4f518348e6380dd6cd8
"Phường 5, Quận Bình Thạnh",8.6,"Nhà hẻm, ngõ",51.8,4.0,5.0,4.0,Tây Nam,Tây Nam,Sổ hồng,b79b9997291e057c5c84d2453a515f2d
"Phường 24, Quận Bình Thạnh",7.09,"Nhà hẻm, ngõ",32.0,4.0,3.0,3.0,,,Sổ đỏ,72760a09bfa76d44b14348427bddef6d
"Phường 22, Quận Bình Thạnh",18.1,Nhà mặt tiền,80.0,,,,,,Sổ hồng,7bfcc4dc249ef2a259d5b21c81811db0
"Phường 13, Quận Phú Nhuận",12.5,"Nhà hẻm, ngõ",66.0,4.0,5.0,4.0,Đông Bắc,Đông Bắc,Sổ hồng,0a12d1683c69a35d9e3c422a0b1b354b
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",24.0,"Nhà hẻm, ngõ",840.0,38.0,,,,,Sổ hồng,bbf792b1f409a01638af06d1b6ec597a
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",2.59,Nhà mặt tiền,23.5,2.0,2.0,1.0,,,Sổ hồng,2ae2febc5ade325a99b789cd449985bd
"Phường 5, Quận Tân Bình",5.9,"Nhà hẻm, ngõ",60.2,3.0,3.0,3.0,Đông,Đông,Sổ đỏ,9b1179a6f3973c5fd99fc3b6e3b4a811
"Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9",3.1,Đất thổ cư,71.0,,,,,,Sổ hồng,4a53aca2ff775d734fd4c88250a090b1
"Phường 1, Quận Gò Vấp",4.9,"Nhà hẻm, ngõ",40.0,3.0,4.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,5f6bd5383819c823848a3bf602fb839b
"Phường 13, Quận 10",4.7,"Nhà hẻm, ngõ",41.0,4.0,1.0,3.0,,,Sổ hồng,afc6182c5e36e4ce3e2c5ebe6e79e3ab
"Phường Phú Mỹ, Quận 7",16.0,Nhà mặt tiền,90.0,5.0,5.0,3.0,Bắc,Bắc,Sổ hồng,8204d83e19076ccbb6de5e4d049db26d
"Phường 12, Quận Gò Vấp",8.55,"Nhà hẻm, ngõ",70.0,4.0,5.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,8e89514bfc84b796405e90e0892d046f
"Phường An Khánh, TP. Thủ Đức - Quận 2",20.0,Nhà mặt tiền,136.0,2.0,2.0,,Nam,Nam,Sổ hồng,e0fe9f9d9ce08a03b1aa9654edb7e08a
"Xã Thới Tam Thôn, Huyện Hóc Môn",0.99,"Nhà hẻm, ngõ",50.0,2.0,2.0,1.0,,,Giấy tờ hợp lệ,cfb824f0af3fb9d8e12b379bc82460bb
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",3.25,"Nhà hẻm, ngõ",59.0,5.0,2.0,2.0,,,Sổ hồng,eddb686c5d5920f4d6fd3fd279103f10
"Phường 15, Quận Bình Thạnh",19.0,"Nhà hẻm, ngõ",54.5,9.0,9.0,7.0,,,Sổ hồng,3ca86ba7e743b3d57c8119b09a1358ee
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",4.59,"Nhà hẻm, ngõ",64.2,,,2.0,,,Sổ hồng,59b622ce785ac91c93f8384e69f491f5
"Phường 7, Quận Phú Nhuận",5.99,Nhà mặt tiền,47.0,6.0,3.0,,Đông Nam,Đông,Sổ hồng,f1626e9c25d74b198fd0247e0efa6fc2
"Phường 15, Quận Tân Bình",8.7,"Nhà hẻm, ngõ",56.0,,,5.0,,,Sổ hồng,9642cccb22081cc82ea8301565aa7f1e
"Phường 16, Quận Gò Vấp",4.66,"Nhà hẻm, ngõ",37.0,,,,Bắc,,Sổ hồng,33c2f8364cabc9f3b4ecb4418940aafd
"Phường Phú Mỹ, Quận 7",16.0,Nhà mặt tiền,90.0,5.0,5.0,4.0,Đông Bắc,,Sổ hồng,e8e182992aae0978674647428521b968
"Phường Bình Hưng Hòa A, Quận Bình Tân",9.0,Nhà mặt tiền,40.0,1.0,1.0,,Bắc,Bắc,Sổ hồng,deb453360a55f470a27af612c059bcd2
"Xã Tân Hiệp, Huyện Hóc Môn",5.7,"Nhà hẻm, ngõ",108.5,3.0,3.0,1.0,Nam,,Sổ hồng,52549ef6279feb12ac5782f5664040de
"Phường 13, Quận Bình Thạnh",45.0,Nhà mặt tiền,150.0,6.0,7.0,3.0,,,Sổ hồng,b3a1830901db597a2ab9893d764f09b9
"Phường Sơn Kỳ, Quận Tân Phú",16.0,"Nhà hẻm, ngõ",128.8,,1.0,,Nam,,Sổ hồng,cd908c7a7148470c186fc0cba7601ef0
"Phường 5, Quận Phú Nhuận",2.62,"Nhà hẻm, ngõ",15.0,2.0,3.0,3.0,Tây Nam,Tây Nam,Sổ hồng,2ec73b945305c4d72ebe0eef1c2850c2
"Phường 15, Quận Tân Bình",4.5,"Nhà hẻm, ngõ",46.0,2.0,2.0,2.0,,,Sổ đỏ,d49547ba944f0856918f992da7009499
"Xã Bình Mỹ, Huyện Củ Chi",3.0,Đất thổ cư,165.0,,,,,,Sổ hồng,3b793345e8ee89a3c3b3ea300d77ec08
"Phường Tân Định, Quận 1",7.1,"Nhà hẻm, ngõ",40.0,3.0,4.0,3.0,,,Sổ hồng,2f73ffdd2920adbf0616e7c9c4d34d4d
"Phường 10, Quận 6",12.7,Nhà mặt tiền,72.0,5.0,6.0,,,,Sổ hồng,4d54ed09dc7ab7d1f522c97d7537ea92
"Phường Phú Hữu, TP. Thủ Đức - Quận 9",8.18,"Đất dự án, Khu dân cư",148.0,,,,Nam,,Hợp đồng mua bán,a1b4be50496530c8c36846e80773c46a
"Phường 12, Quận 6",5.75,"Nhà hẻm, ngõ",64.0,4.0,2.0,1.0,,Nam,Sổ hồng,227a428f39b09f34d350ecfd59386846
"Phường 10, Quận Phú Nhuận",9.95,"Nhà hẻm, ngõ",75.0,3.0,4.0,3.0,Nam,Nam,Sổ hồng,5958f7585627ccc03c711f44d249b10f
"Phường 10, Quận Phú Nhuận",8.39,"Nhà hẻm, ngõ",40.0,3.0,4.0,4.0,Đông Nam,Đông Nam,Sổ hồng,4b0c85a8eac14dbd57344ac03e3b35ef
"Phường Bình Trị Đông A, Quận Bình Tân",3.89,"Nhà hẻm, ngõ",48.0,2.0,2.0,,,,Sổ hồng,48ac69ca1ac9cebd699c16756789cc1b
"Huyện Nhà Bè, TP.HCM",10.0,Nhà mặt tiền,80.0,,,,,,Sổ hồng,04a00fe68b92e0064b0dc117f303b612
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",26.5,"Nhà hẻm, ngõ",117.0,5.0,6.0,,Tây,Tây,Sổ hồng,878fc718c40ec9469e3ae1e77f446d0b
"Phường 8, Quận Phú Nhuận",21.0,Nhà mặt tiền,38.0,6.0,7.0,7.0,Tây Nam,Tây Nam,Sổ hồng,d947a1a7b9748dc6d8b5e4a71f41954d
"Phường 13, Quận Bình Thạnh",4.25,"Nhà hẻm, ngõ",36.0,5.0,3.0,,Tây,Nam,Sổ hồng,03fece1be22b8efb869492d287774c79
"Phường Thạnh Lộc, Quận 12",8.5,"Nhà hẻm, ngõ",150.2,,,,,,Sổ hồng,8c445d21fc910f0696aa64ea2b681765
"Phường 12, Quận Tân Bình",59.0,Nhà mặt tiền,170.0,2.0,3.0,3.0,Đông,Đông,Sổ hồng,39b9d5d881847e00fc1bba83d62d44cd
"Phường 13, Quận 10",30.0,Nhà mặt tiền,61.5,,,7.0,,,Sổ hồng,4fe45ed62b25fd09df371631b0621008
"Phường An Lạc A, Quận Bình Tân",25.0,Nhà mặt tiền,168.0,,,3.0,,,Sổ hồng,67c53cb8126e154afaaeacfd9fb81711
"Phường 15, Quận Tân Bình",4.75,"Nhà hẻm, ngõ",35.0,3.0,2.0,3.0,Tây Nam,Tây Nam,Sổ hồng,d1b8ed8635edcc9e0c8ea3810c8e6314
"Phường 13, Quận Tân Bình",75.0,Nhà mặt tiền,260.0,8.0,8.0,7.0,Đông Nam,Đông Nam,Sổ hồng,d766bb7cfbe521a6cf2b0c902f28a704
"Phường 16, Quận 8",9.0,Nhà mặt tiền,100.0,,,,,,Giấy tờ hợp lệ,aef6f745c4f2a5cc3a4bc34f99f35f2b
"Phường 9, Quận 10",21.0,Nhà mặt tiền,40.8,,,,,,Sổ hồng,ed72e7d743e3df00f90956aa9e1615d7
"Phường 7 (Phường Võ Thị Sáu), Quận 3",100.0,Nhà mặt tiền,300.0,,,,,,Sổ hồng,d40bf009a0bbd57e367533c7f0518ffe
"Phường Nguyễn Cư Trinh, Quận 1",24.0,"Nhà hẻm, ngõ",100.0,6.0,7.0,5.0,Tây Nam,Tây Nam,Sổ hồng,6c3a1dc6f7a73a193732cf236697be86
"Phường 14, Quận 10",26.0,Nhà mặt tiền,120.0,,,5.0,,,Sổ hồng,42f89daf177cd837e5eca106002227de
"Xã Tân Phú Trung, Huyện Củ Chi",0.71,"Nhà hẻm, ngõ",225.0,,,,,,Sổ hồng,fe3dedb8d3fe8226a831be7f001ef3b9
"Phường 10, Quận Phú Nhuận",9.95,"Nhà hẻm, ngõ",75.0,3.0,3.0,,,,Sổ đỏ,1e63a7e75a850bbb01e9b61ae62412c0
"Phường 8, Quận Phú Nhuận",2.26,Nhà mặt tiền,14.0,1.0,1.0,2.0,,,Sổ hồng,8e435bd566ff7dd04b63c7e24d51f70b
"Phường Phú Thạnh, Quận Tân Phú",28.0,Nhà mặt tiền,256.0,,,1.0,,,Sổ hồng,97e55b483ddcaa8c2d2027880e7b644a
"Phường 10, Quận Tân Bình",8.5,"Nhà hẻm, ngõ",60.0,4.0,4.0,3.0,,,Sổ hồng,7bf1a8187c804998ee502473f8843940
"Phường Tân Quy, Quận 7",4.6,"Nhà hẻm, ngõ",40.0,5.0,6.0,5.0,Đông,,Sổ hồng,ced0257fbf086b3efddf41c0866f5215
"Phường 12, Quận Gò Vấp",6.5,"Nhà hẻm, ngõ",56.0,,5.0,3.0,,,Sổ hồng,4c7043b22cf680fe22c0d403c2dbc8b1
"Phường 3, Quận Phú Nhuận",7.6,"Nhà hẻm, ngõ",44.0,,,,,,Sổ hồng,8482f74fdd4fa1c7a9529c90057c431d
"Phường 11, Quận Tân Bình",17.0,Nhà mặt tiền,62.8,,,,,,Sổ hồng,659ac8c872a65bb778270bca6efd3a6b
"Xã Phú Xuân, Huyện Nhà Bè",1.15,"Nhà hẻm, ngõ",22.4,3.0,2.0,2.0,Đông Nam,,Sổ hồng,176e3dd1e5317ecffc2e3572cbcd2756
"Phường 13, Quận Tân Bình",23.5,Nhà mặt tiền,125.0,10.0,5.0,3.0,,,Sổ hồng,95b1c81e9cdbf19bdce2ab73768eea1e
"Phường Tân Quý, Quận Tân Phú",12.0,Nhà mặt tiền,104.0,,,,,,Sổ hồng,8ffa83ddc21ccf74f9ff8103d8c74100
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",6.4,Nhà mặt tiền,68.0,2.0,2.0,2.0,,,Sổ hồng,e704856abead5f19d0c634da8cb0cee8
"Phường 5, Quận 10",8.5,"Nhà hẻm, ngõ",50.0,2.0,2.0,,,,Sổ đỏ,06d62864ce67b74e36fe4ae2737c300d
"Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2",5.0,Nhà mặt tiền,90.0,,,,,,Sổ hồng,e82a8c34726535d780b8b0303e2cf4c7
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",28.0,Nhà mặt tiền,77.0,4.0,3.0,2.0,Bắc,,Sổ hồng,0077aa99988b04aec3f5e977ad2b213e
"Phường 14, Quận Bình Thạnh",4.75,"Nhà hẻm, ngõ",29.7,3.0,2.0,2.0,,,Sổ hồng,ffe8ec229d180f68169f6bb0bdda1c58
"Phường 9, Quận 8",2.55,"Nhà hẻm, ngõ",69.0,1.0,2.0,,,,Sổ hồng,03d12510b51433485c27032827aa27de
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1.79,"Nhà hẻm, ngõ",25.6,4.0,3.0,,,,Giấy tờ hợp lệ,13ee847928d055650059a35fde3a8fee
"Phường Tăng Nhơn Phú B, TP. Thủ Đức - Quận 9",6.0,"Nhà hẻm, ngõ",80.0,4.0,5.0,3.0,,,Sổ hồng,986ff46f7db7ca6afd04afd66941d8dd
"Phường 6, Quận 10",5.5,"Nhà hẻm, ngõ",35.0,4.0,3.0,,Đông,,Sổ hồng,4a142764e6d497021831f7dbea269312
"Phường 5, Quận Phú Nhuận",11.3,Nhà mặt tiền,41.0,,,,,,Sổ hồng,ec41d24dd2b18bd2eb45113e41ac567a
"Phường Hiệp Thành, Quận 12",3.85,Đất thổ cư,96.0,,,,,,Sổ hồng,098c27c295d2e865c47ebdb1c5d0c4c9
"Phường 5, Quận Phú Nhuận",4.5,"Nhà hẻm, ngõ",18.0,,,,,,Sổ hồng,059315ece7fcac2d631a455eb0e02fb7
"Phường Tân Quy, Quận 7",18.0,Nhà mặt tiền,80.0,,,,,,Sổ hồng,87074ad6eb5ad40c05849703cdda941d
"Phường 7, Quận 5",9.8,"Nhà hẻm, ngõ",44.2,,,4.0,,,Sổ hồng,631f36161a3cb7e87f270cd4559c044b
"Phường 3, Quận 5",25.0,"Nhà hẻm, ngõ",104.0,,,,,,Sổ hồng,9c60f4cb1bd92f9cd36fdc3beca81c41
"Thị Trấn Nhà Bè, Huyện Nhà Bè",3.19,"Nhà hẻm, ngõ",40.0,,,,,,Giấy tờ hợp lệ,5d8f013cfca6c5907cc9c16eafe22f40
"Phường 5, Quận Bình Thạnh",1.75,"Nhà hẻm, ngõ",53.6,3.0,3.0,2.0,,,Sổ hồng,cbe423078077f344b6c3eedaad58e943
"Phường 7, Quận Bình Thạnh",45.0,Nhà mặt tiền,140.0,,,5.0,,,Sổ hồng,bd1b0e460bf309c0890434c97b602137
"Xã Phước Vĩnh An, Huyện Củ Chi",8.0,Nhà mặt tiền,321.9,3.0,2.0,,,,Sổ hồng,1ddb0d4506a9221e3aab5cb7e7d14e14
"Phường 12, Quận 10",29.5,Nhà mặt tiền,80.0,,,4.0,,,Sổ hồng,7f423b5c7edc723e47bb9cc27b6fca51
"Phường Tân Quý, Quận Tân Phú",6.0,"Nhà hẻm, ngõ",54.4,,,,,,Sổ hồng,cff75ba5bfebc0b4f7505efa2f92ef39
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1.9,"Nhà hẻm, ngõ",19.5,2.0,3.0,,,,Giấy tờ hợp lệ,ee913068ba46bef3a68e34a3bb581e6b
"Phường 12, Quận Bình Thạnh",11.5,"Biệt thự, Villa",120.0,4.0,3.0,,,,Sổ hồng,816e557f6f3cb396fa1324284ddb4d34
"Phường 2, Quận Phú Nhuận",23.0,Nhà mặt tiền,64.0,5.0,6.0,4.0,,,Sổ đỏ,df6847f1cec9a714a15a12f949be1175
"Phường 9, Quận Gò Vấp",7.4,"Nhà hẻm, ngõ",48.0,,,,,,Sổ hồng,6ff17bd34e336af34d4c7425d9c5bf80
"Phường Tây Thạnh, Quận Tân Phú",6.0,"Nhà hẻm, ngõ",53.0,5.0,5.0,5.0,Tây,Tây,Sổ hồng,95a93ec9e602a77f95062a315a40af09
"Phường 9, Quận Tân Bình",5.8,"Nhà hẻm, ngõ",41.0,4.0,3.0,4.0,Đông,Đông,Sổ hồng,9b392c5f37956dccac471537d7f8af8f
"Phường 13, Quận Bình Thạnh",21.0,Nhà mặt tiền,109.0,3.0,4.0,3.0,Tây Nam,,Sổ hồng,2004687f0dbb69bbbd27618240ce7046
"Phường Phú Thọ Hòa, Quận Tân Phú",32.0,Nhà mặt tiền,168.0,,,5.0,,,Sổ hồng,19133446732b6305d96ecc472c2727d4
"Phường 19, Quận Bình Thạnh",22.5,Nhà mặt tiền,56.0,5.0,4.0,4.0,Nam,Nam,Sổ hồng,7e4f9d9ab0749f75f37cd35d7a2b6e03
"Phường Tân Sơn Nhì, Quận Tân Phú",75.0,Nhà mặt tiền,305.0,2.0,2.0,2.0,Đông Nam,Đông Nam,Sổ hồng,c9236af756985edf8824cc4e1fadd117
"Thị Trấn Nhà Bè, Huyện Nhà Bè",2.15,"Nhà hẻm, ngõ",28.8,3.0,2.0,,,,Giấy tờ hợp lệ,d8bb5d883fa33f4e47a21866df0738de
"Phường Bình Trị Đông B, Quận Bình Tân",7.5,"Nhà hẻm, ngõ",68.0,,,,,,Sổ hồng,eaaa4a6cd06166910781c0b5501dbfb0
"Phường 2, Quận 5",8.0,"Nhà hẻm, ngõ",62.0,3.0,3.0,,,,Sổ hồng,be0a08ac7e68c55de29a241e0292e12c
"Phường Đa Kao, Quận 1",15.099,"Nhà hẻm, ngõ",118.5,5.0,4.0,3.0,,,Sổ đỏ,5cd623fd79210696ee0eebad3ac86a1d
"Phường An Lạc, Quận Bình Tân",3.53,Đất thổ cư,63.0,,,,,,Sổ hồng,b6f53174ee9657b3befa03e13848926b
"Phường 2, Quận Phú Nhuận",5.3,Nhà mặt tiền,58.0,4.0,4.0,4.0,,,Sổ hồng,8e2f4d929d0e4009fcd91da46ed124b2
"Xã Phước Kiển, Huyện Nhà Bè",1.36,"Nhà hẻm, ngõ",22.2,2.0,1.0,1.0,,,Sổ hồng,35564276ea51e79f8ca754f8200704c8
"Phường Bình Trị Đông B, Quận Bình Tân",7.0,"Nhà hẻm, ngõ",67.5,,,3.0,,,Sổ hồng,a8bcca494af44007e7082decdd318aad
"Phường Thạnh Lộc, Quận 12",1.85,"Nhà hẻm, ngõ",48.0,3.0,2.0,,Đông Nam,Đông Nam,Giấy tờ hợp lệ,57a57ef87522a414f20828ddca97481f
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1.9,"Nhà hẻm, ngõ",24.0,2.0,2.0,,,,Giấy tờ hợp lệ,96c2c86576f194f0e4d333cb2ddbd04e
"Phường Bình Trị Đông A, Quận Bình Tân",11.5,Đất thổ cư,108.0,,,,,,Sổ hồng,065b321186434e5ae25e3e52c1f25056
"Phường 12, Quận Bình Thạnh",21.0,Nhà mặt tiền,255.0,,,,,,Sổ hồng,be49c43133de1acbb7b071cfa5b38642
"Phường Tân Chánh Hiệp, Quận 12",3.1,Đất thổ cư,80.0,,,,Bắc,,Sổ hồng,fc7043b57411893d6b6dc637890f9215
"Phường An Lạc, Quận Bình Tân",7.7,"Nhà hẻm, ngõ",84.0,,,6.0,,,Sổ hồng,3c9a3e033e7b8998f3e73c10656e0052
"Phường 5, Quận Gò Vấp",13.5,"Nhà hẻm, ngõ",135.7,,,1.0,,,Sổ hồng,793e24c566bfc3adffc0b44382ddf60f
"Phường Tân Chánh Hiệp, Quận 12",1.79,"Nhà hẻm, ngõ",25.0,2.0,2.0,1.0,,,Sổ hồng,ae9b104a0ecf8bb420d39b1ba9178038
"Phường 17, Quận Phú Nhuận",17.0,Nhà mặt tiền,43.0,,,,,,Sổ hồng,944320abbda62b033417806a92989cec
"Phường Sơn Kỳ, Quận Tân Phú",6.0,"Nhà hẻm, ngõ",55.0,3.0,2.0,2.0,Đông Nam,,Sổ hồng,beb993568a1c7ab8868ae3ea63263961
"Phường 14, Quận Tân Bình",12.6,Nhà mặt tiền,56.0,,,,,,Sổ hồng,be82950e79fd37861cb7e81bd5fb9d40
"Phường Tân Thới Hòa, Quận Tân Phú",16.5,Nhà mặt tiền,87.4,4.0,5.0,3.0,Tây,,Sổ hồng,6a2e9d6dd0b223a3fbe1cb59694f772b
"Phường 15, Quận Gò Vấp",6.3,Đất thổ cư,75.0,,,,,,Sổ đỏ,f1d232b2ed6fe336863911f012501f9f
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1.9,"Nhà hẻm, ngõ",21.0,4.0,2.0,,,,Giấy tờ hợp lệ,ef07c5520061ef1e7803ec21916e8447
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",4.8,Đất thổ cư,156.0,,,,,,Sổ hồng,47c669f8630aef72881746495ac1492c
"Phường Thạnh Lộc, Quận 12",12.0,Đất thổ cư,776.0,,,,,,Sổ hồng,daed09c4e57877fa65f060b3d6e2c87a
"Phường 3, Quận Bình Thạnh",3.25,Nhà mặt tiền,30.0,,,,,,Sổ hồng,4a1ea80b924e0bae3df24662b654a395
"Phường Tân Sơn Nhì, Quận Tân Phú",5.5,"Nhà hẻm, ngõ",56.0,2.0,2.0,1.0,,,Sổ hồng,72d242b776bf2ba5a0e8bde5ca3d30a7
"Xã Quy Đức, Huyện Bình Chánh",8.0,Đất thổ cư,300.0,,,,,,Sổ hồng,267ad398f7e5c55dcc76587758ebca18
"Phường Bình Thuận, Quận 7",16.0,Nhà mặt tiền,100.0,,,,,,Sổ hồng,c6c2edae7548d21d6459fca86ce91580
"Phường 12, Quận Tân Bình",8.9,Nhà mặt tiền,63.0,,,,,,Sổ hồng,0cfe1162850b06a1fd4015702903a25e
"Phường Cô Giang, Quận 1",3.5,"Nhà hẻm, ngõ",25.1,2.0,3.0,3.0,,,Sổ hồng,20ad7b32a85c9a95dedc40491c4af111
"Phường Thới An, Quận 12",9.0,Nhà mặt tiền,92.0,,,,,,Sổ hồng,eb4649cf0b3cc8d8a7aa66a6a986df5f
"Xã Xuân Thới Sơn, Huyện Hóc Môn",4.5,Nhà mặt tiền,137.0,,,,,,Sổ hồng,710c3ad68d523f508b774b86fa863f50
"Phường Phú Thuận, Quận 7",13.5,Nhà mặt tiền,157.0,14.0,,,,,Sổ hồng,47b368692b0b9049c1f08492b9cf5ed1
"Phường 16, Quận 8",7.0,Nhà mặt tiền,52.0,5.0,5.0,5.0,,,Sổ hồng,d22671b4101b2992beac7cb547697468
"Thị Trấn Nhà Bè, Huyện Nhà Bè",3.15,"Nhà hẻm, ngõ",36.0,4.0,3.0,,,,Sổ hồng,8d2ecaec542d12179c716732c02cdb09
"Xã Tân Thạnh Tây, Huyện Củ Chi",4.45,Đất thổ cư,200.0,,,,,,Sổ đỏ,d19069114d62202bdd199b0a93dae661
"Phường 7, Quận Phú Nhuận",8.6,"Nhà hẻm, ngõ",68.0,4.0,5.0,4.0,,,Sổ hồng,c7114790ddb9d8acd7d9872d7734a4b1
"Huyện Bình Chánh, TP.HCM",5.5,"Đất dự án, Khu dân cư",100.0,,,,,,Hợp đồng mua bán,1a4f6ae5e645922844f7a3d1d7c00555
"Phường 11, Quận Tân Bình",9.68,"Nhà hẻm, ngõ",70.7,,,,,,Sổ hồng,8392ff128cdcb440b667bcec1d69e0d0
"Phường 4, Quận Phú Nhuận",1.0,"Nhà hẻm, ngõ",53.1,3.0,3.0,,,,Sổ hồng,59ff770ad583f42f614e2e232f8782aa
"Phường 5, Quận Bình Thạnh",57.0,Nhà mặt tiền,296.0,5.0,4.0,,,,Sổ hồng,2234883f7a6bac8ec7fce43130b41823
"Quận 7, TP.HCM",7.4,Đất thổ cư,50.8,,,,,,Sổ hồng,1f63dd32f5c128ced1e4a466525298d2
"Phường 4, Quận 3",29.0,Nhà mặt tiền,70.0,6.0,3.0,4.0,,,Sổ hồng,dbbee1035facaef82ae475b2ab015edf
"Thị Trấn Nhà Bè, Huyện Nhà Bè",3.6,"Nhà hẻm, ngõ",60.0,2.0,1.0,2.0,Đông,,Sổ hồng,d695e8709510666eff6a2e9f051df065
"Phường 7, Quận 8",11.15,"Nhà hẻm, ngõ",104.0,3.0,3.0,3.0,Đông Bắc,,Sổ hồng,73ba903fbbc16c29c25a97399358cba5
"Phường 7, Quận Gò Vấp",4.35,"Nhà hẻm, ngõ",32.0,2.0,3.0,3.0,,,Sổ hồng,3733178be77df1fac20ef838d3d58794
"Phường Tân Thuận Tây, Quận 7",5.3,"Nhà hẻm, ngõ",40.0,3.0,3.0,2.0,,,Sổ hồng,ee0da88f19428c2342d981728cda3dcf
